city,product_name,units_in_stock,quantity,discount,category_name,yearquarter,label,unit_price_winsorized,total_price_winsorized
Strasbourg,Alice Mutton,0,30,0.0,Meat/Poultry,1996 Q3,0,31.2,936.0
Strasbourg,Outback Lager,15,20,0.0,Beverages,1996 Q3,0,12.0,240.0
Oulu,Queso Manchego La Pastora,86,12,0.05,Dairy Products,1996 Q3,1,30.4,346.55999999999995
München,Boston Crab Meat,123,50,0.0,Seafood,1996 Q3,1,14.7,735.0
München,Raclette Courdavault,79,70,0.15,Dairy Products,1996 Q3,1,44.0,1800.0
München,Lakkalikööri,57,15,0.15,Beverages,1996 Q3,1,14.4,183.6
Caracas,Thüringer Rostbratwurst,0,10,0.0,Meat/Poultry,1996 Q3,0,55.0,990.0
Caracas,Mozzarella di Giovanni,14,4,0.0,Dairy Products,1996 Q3,0,27.8,111.2
Seattle,Geitost,112,60,0.05,Dairy Products,1996 Q3,1,5.9,114.0
Seattle,Mozzarella di Giovanni,14,20,0.05,Dairy Products,1996 Q3,1,27.8,528.1999999999999
Oulu,Inlagd Sill,112,30,0.0,Seafood,1996 Q3,0,15.2,456.0
Oulu,Ipoh Coffee,17,25,0.0,Beverages,1996 Q3,0,36.8,919.9999999999999
Lander,Geitost,112,24,0.0,Dairy Products,1996 Q3,1,5.9,48.0
Albuquerque,Sir Rodney's Marmalade,40,6,0.0,Confections,1996 Q3,1,55.0,388.79999999999995
Albuquerque,Gorgonzola Telino,0,40,0.0,Dairy Products,1996 Q3,0,10.0,400.0
Albuquerque,Mozzarella di Giovanni,14,24,0.0,Dairy Products,1996 Q3,1,27.8,667.2
Cunewalde,Ikura,31,24,0.05,Seafood,1996 Q3,1,24.8,565.44
Cunewalde,Gorgonzola Telino,0,15,0.05,Dairy Products,1996 Q3,1,10.0,142.5
Cunewalde,Geitost,112,20,0.0,Dairy Products,1996 Q3,1,5.9,40.0
Cunewalde,Boston Crab Meat,123,60,0.05,Seafood,1996 Q3,1,14.7,837.9
Cunewalde,Lakkalikööri,57,33,0.05,Beverages,1996 Q3,1,14.4,451.43999999999994
Reims,Flotemysost,26,20,0.0,Dairy Products,1996 Q3,1,17.2,344.0
Reims,Mozzarella di Giovanni,14,7,0.0,Dairy Products,1996 Q3,0,27.8,194.6
Bergamo,Guaraná Fantástica,20,12,0.05,Beverages,1996 Q3,1,5.9,41.04
Bergamo,Raclette Courdavault,79,6,0.05,Dairy Products,1996 Q3,0,44.0,250.79999999999998
México D.F.,Ikura,31,15,0.0,Seafood,1996 Q3,0,24.8,372.0
México D.F.,Konbu,24,10,0.0,Seafood,1996 Q3,0,5.9,48.0
Leipzig,Rössle Sauerkraut,26,20,0.0,Produce,1996 Q3,0,36.4,728.0
Leipzig,Tarte au sucre,17,12,0.0,Confections,1996 Q3,0,39.4,472.79999999999995
Luleå,Gula Malacca,27,16,0.0,Condiments,1996 Q3,0,15.5,248.0
Luleå,Raclette Courdavault,79,15,0.0,Dairy Products,1996 Q3,0,44.0,660.0
Luleå,Vegie-spread,24,8,0.0,Condiments,1996 Q3,1,35.1,280.8
Luleå,Röd Kaviar,101,25,0.0,Seafood,1996 Q3,0,12.0,300.0
Frankfurt a.M.,Alice Mutton,0,15,0.25,Meat/Poultry,1996 Q3,1,31.2,351.0
Luleå,Guaraná Fantástica,20,12,0.0,Beverages,1996 Q3,1,5.9,43.2
Luleå,Pâté chinois,115,20,0.0,Meat/Poultry,1996 Q3,1,19.2,384.0
Luleå,Rhönbräu Klosterbier,125,30,0.0,Beverages,1996 Q3,1,6.2,186.0
Madrid,Teatime Chocolate Biscuits,25,1,0.0,Confections,1996 Q3,0,7.3,38.6
Madrid,Guaraná Fantástica,20,6,0.0,Beverages,1996 Q3,0,5.9,38.6
Madrid,Steeleye Stout,20,4,0.0,Beverages,1996 Q3,1,14.4,57.6
Madrid,Nord-Ost Matjeshering,10,6,0.0,Seafood,1996 Q3,0,20.7,124.19999999999999
Madrid,Ravioli Angelo,36,2,0.0,Grains/Cereals,1996 Q3,1,15.6,38.6
Barquisimeto,Genen Shouyu,39,20,0.0,Condiments,1996 Q3,0,12.4,248.0
Barquisimeto,Teatime Chocolate Biscuits,25,18,0.0,Confections,1996 Q3,0,7.3,131.4
Barquisimeto,Camembert Pierrot,19,35,0.0,Dairy Products,1996 Q3,1,27.2,952.0
Barquisimeto,Mozzarella di Giovanni,14,3,0.0,Dairy Products,1996 Q3,0,27.8,83.4
Frankfurt a.M.,Schoggi Schokolade,49,15,0.25,Confections,1996 Q3,1,35.1,394.875
Frankfurt a.M.,Gula Malacca,27,21,0.0,Condiments,1996 Q3,0,15.5,325.5
Frankfurt a.M.,Camembert Pierrot,19,20,0.25,Dairy Products,1996 Q3,1,27.2,408.0
Frankfurt a.M.,Laughing Lumberjack Lager,52,5,0.25,Beverages,1996 Q3,1,11.2,42.0
Cunewalde,Chai,39,45,0.2,Beverages,1996 Q3,1,14.4,518.4
Cunewalde,Boston Crab Meat,123,40,0.2,Seafood,1996 Q3,1,14.7,470.40000000000003
Cunewalde,Perth Pasties,0,36,0.2,Meat/Poultry,1996 Q3,1,26.2,754.56
Cunewalde,Steeleye Stout,20,100,0.0,Beverages,1996 Q3,1,14.4,1440.0
Cunewalde,Tarte au sucre,17,40,0.0,Confections,1996 Q3,0,39.4,1576.0
Rio de Janeiro,Pavlova,29,40,0.15,Confections,1996 Q3,1,13.9,472.59999999999997
Rio de Janeiro,Sasquatch Ale,111,20,0.0,Beverages,1996 Q3,0,11.2,224.0
Rio de Janeiro,Spegesild,95,15,0.15,Seafood,1996 Q3,1,9.6,122.39999999999999
Reggio Emilia,Tourtière,21,10,0.1,Meat/Poultry,1996 Q3,0,5.9,53.1
Reggio Emilia,Scottish Longbreads,6,3,0.1,Confections,1996 Q3,1,10.0,38.6
London,Aniseed Syrup,13,30,0.0,Condiments,1996 Q3,1,8.0,240.0
London,Wimmers gute Semmelknödel,22,9,0.0,Grains/Cereals,1996 Q3,0,26.6,239.4
Sao Paulo,Chef Anton's Gumbo Mix,0,20,0.0,Condiments,1996 Q3,1,17.0,340.0
Sao Paulo,Thüringer Rostbratwurst,0,15,0.0,Meat/Poultry,1996 Q3,1,55.0,1485.0
Sao Paulo,Maxilaku,10,15,0.0,Confections,1996 Q3,0,16.0,240.0
Sao Paulo,Original Frankfurter grüne Soße,32,10,0.0,Condiments,1996 Q3,0,10.4,104.0
Rio de Janeiro,Konbu,24,20,0.1,Seafood,1996 Q3,1,5.9,86.4
Rio de Janeiro,Gula Malacca,27,24,0.1,Condiments,1996 Q3,1,15.5,334.8
Rio de Janeiro,Manjimup Dried Apples,20,2,0.1,Produce,1996 Q3,1,42.4,76.32
Sao Paulo,Sir Rodney's Marmalade,40,20,0.0,Confections,1996 Q3,1,55.0,1296.0
México D.F.,Carnarvon Tigers,42,12,0.0,Seafood,1996 Q3,0,50.0,600.0
México D.F.,Guaraná Fantástica,20,10,0.0,Beverages,1996 Q3,1,5.9,38.6
México D.F.,Vegie-spread,24,5,0.0,Condiments,1996 Q3,1,35.1,175.5
México D.F.,Rhönbräu Klosterbier,125,6,0.0,Beverages,1996 Q3,1,6.2,38.6
Albuquerque,Chai,39,18,0.0,Beverages,1996 Q3,1,14.4,259.2
Albuquerque,Alice Mutton,0,15,0.0,Meat/Poultry,1996 Q3,1,31.2,468.0
Albuquerque,Ipoh Coffee,17,15,0.0,Beverages,1996 Q3,1,36.8,552.0
Albuquerque,Camembert Pierrot,19,21,0.0,Dairy Products,1996 Q3,0,27.2,571.1999999999999
Albuquerque,Rhönbräu Klosterbier,125,6,0.0,Beverages,1996 Q3,1,6.2,38.6
Reims,Gnocchi di nonna Alice,21,4,0.0,Grains/Cereals,1996 Q3,1,30.4,121.6
Barquisimeto,Queso Cabrales,22,12,0.0,Dairy Products,1996 Q3,1,16.8,201.60000000000002
Barquisimeto,Pavlova,29,30,0.0,Confections,1996 Q3,0,13.9,417.0
Barquisimeto,Gudbrandsdalsost,26,15,0.0,Dairy Products,1996 Q3,1,28.8,432.0
Strasbourg,Chartreuse verte,69,60,0.0,Beverages,1996 Q3,1,14.4,864.0
Strasbourg,Mozzarella di Giovanni,14,20,0.0,Dairy Products,1996 Q3,1,27.8,556.0
Cork,Chang,17,40,0.0,Beverages,1996 Q3,0,15.2,608.0
Cork,Inlagd Sill,112,40,0.25,Seafood,1996 Q3,1,15.2,456.0
Cork,Raclette Courdavault,79,30,0.25,Dairy Products,1996 Q3,1,44.0,990.0
Cork,Tarte au sucre,17,15,0.0,Confections,1996 Q3,0,39.4,591.0
Rio de Janeiro,Teatime Chocolate Biscuits,25,15,0.0,Confections,1996 Q3,0,7.3,109.5
Rio de Janeiro,Outback Lager,15,20,0.0,Beverages,1996 Q3,0,12.0,240.0
Bergamo,Louisiana Hot Spiced Okra,4,30,0.0,Condiments,1996 Q3,0,13.6,408.0
Bergamo,Scottish Longbreads,6,20,0.0,Confections,1996 Q3,1,10.0,200.0
Stuttgart,Boston Crab Meat,123,10,0.0,Seafood,1996 Q3,0,14.7,147.0
Stuttgart,Gnocchi di nonna Alice,21,20,0.0,Grains/Cereals,1996 Q3,0,30.4,608.0
Charleroi,Alice Mutton,0,40,0.0,Meat/Poultry,1996 Q3,0,31.2,1248.0
Charleroi,Rössle Sauerkraut,26,28,0.0,Produce,1996 Q3,0,36.4,1019.1999999999999
Charleroi,Ipoh Coffee,17,12,0.0,Beverages,1996 Q3,0,36.8,441.59999999999997
Sevilla,Boston Crab Meat,123,40,0.1,Seafood,1996 Q3,1,14.7,529.2
Sevilla,Louisiana Fiery Hot Pepper Sauce,76,30,0.1,Condiments,1996 Q3,1,16.8,453.6
Sevilla,Scottish Longbreads,6,15,0.1,Confections,1996 Q3,1,10.0,135.0
México D.F.,Maxilaku,10,30,0.0,Confections,1996 Q3,0,16.0,480.0
México D.F.,Raclette Courdavault,79,10,0.0,Dairy Products,1996 Q3,0,44.0,440.0
México D.F.,Flotemysost,26,2,0.0,Dairy Products,1996 Q3,1,17.2,38.6
Anchorage,Carnarvon Tigers,42,25,0.1,Seafood,1996 Q3,1,50.0,1125.0
Anchorage,Thüringer Rostbratwurst,0,25,0.1,Meat/Poultry,1996 Q3,0,55.0,1800.0
Anchorage,Chartreuse verte,69,30,0.1,Beverages,1996 Q3,1,14.4,388.8
Madrid,Nord-Ost Matjeshering,10,10,0.0,Seafood,1996 Q3,0,20.7,207.0
Madrid,Perth Pasties,0,10,0.0,Meat/Poultry,1996 Q3,0,26.2,262.0
Madrid,Tourtière,21,5,0.0,Meat/Poultry,1996 Q3,0,5.9,38.6
Portland,Tarte au sucre,17,10,0.0,Confections,1996 Q3,1,39.4,394.0
Portland,Scottish Longbreads,6,3,0.0,Confections,1996 Q3,1,10.0,38.6
México D.F.,Gudbrandsdalsost,26,1,0.0,Dairy Products,1996 Q3,1,28.8,38.6
México D.F.,Outback Lager,15,5,0.0,Beverages,1996 Q3,0,12.0,60.0
Cork,Chef Anton's Cajun Seasoning,53,20,0.0,Condiments,1996 Q3,1,17.6,352.0
Cork,Grandma's Boysenberry Spread,120,30,0.0,Condiments,1996 Q3,0,20.0,600.0
Cork,Singaporean Hokkien Fried Mee,26,2,0.0,Grains/Cereals,1996 Q3,0,11.2,38.6
Cork,Ipoh Coffee,17,20,0.0,Beverages,1996 Q3,0,36.8,736.0
Cork,Flotemysost,26,3,0.0,Dairy Products,1996 Q3,0,17.2,51.599999999999994
Portland,Pavlova,29,10,0.0,Confections,1996 Q3,0,13.9,139.0
Portland,Tarte au sucre,17,5,0.0,Confections,1996 Q3,1,39.4,197.0
Nantes,Singaporean Hokkien Fried Mee,26,6,0.0,Grains/Cereals,1996 Q3,1,11.2,67.19999999999999
Nantes,Gudbrandsdalsost,26,7,0.0,Dairy Products,1996 Q3,1,28.8,201.6
Stuttgart,Rössle Sauerkraut,26,4,0.0,Produce,1996 Q3,1,36.4,145.6
Stuttgart,Ipoh Coffee,17,24,0.0,Beverages,1996 Q3,0,36.8,883.1999999999999
Stuttgart,Perth Pasties,0,20,0.0,Meat/Poultry,1996 Q3,1,26.2,524.0
Stuttgart,Rhönbräu Klosterbier,125,10,0.0,Beverages,1996 Q3,0,6.2,62.0
Cunewalde,Inlagd Sill,112,12,0.0,Seafood,1996 Q3,0,15.2,182.39999999999998
Albuquerque,Mascarpone Fabioli,9,40,0.1,Dairy Products,1996 Q3,1,25.6,921.6
Albuquerque,Escargots de Bourgogne,62,30,0.1,Seafood,1996 Q3,1,10.6,286.2
Albuquerque,Tarte au sucre,17,25,0.1,Confections,1996 Q3,1,39.4,886.5
Cowes,Sasquatch Ale,111,14,0.0,Beverages,1996 Q3,0,11.2,156.79999999999998
Cowes,Outback Lager,15,30,0.0,Beverages,1996 Q3,0,12.0,360.0
Albuquerque,Jack's New England Clam Chowder,85,10,0.0,Seafood,1996 Q3,0,7.7,77.0
Albuquerque,Tarte au sucre,17,70,0.0,Confections,1996 Q3,1,39.4,1800.0
Portland,Chai,39,20,0.0,Beverages,1996 Q3,0,14.4,288.0
Cowes,Jack's New England Clam Chowder,85,20,0.0,Seafood,1996 Q4,1,7.7,154.0
Cowes,Lakkalikööri,57,6,0.0,Beverages,1996 Q4,0,14.4,86.4
México D.F.,Alice Mutton,0,8,0.0,Meat/Poultry,1996 Q4,0,31.2,249.6
México D.F.,Rössle Sauerkraut,26,14,0.0,Produce,1996 Q4,0,36.4,509.59999999999997
México D.F.,Lakkalikööri,57,30,0.0,Beverages,1996 Q4,0,14.4,432.0
Oulu,Flotemysost,26,30,0.0,Dairy Products,1996 Q4,0,17.2,516.0
Cowes,Steeleye Stout,20,10,0.0,Beverages,1996 Q4,1,14.4,144.0
México D.F.,Filo Mix,38,20,0.0,Grains/Cereals,1996 Q4,0,5.9,112.0
Brandenburg,Genen Shouyu,39,5,0.0,Condiments,1996 Q4,0,12.4,62.0
Brandenburg,NuNuCa Nuß-Nougat-Creme,76,4,0.0,Confections,1996 Q4,0,11.2,44.8
Brandenburg,Chartreuse verte,69,4,0.0,Beverages,1996 Q4,1,14.4,57.6
Boise,Pavlova,29,21,0.15,Confections,1996 Q4,1,13.9,248.115
Boise,Steeleye Stout,20,70,0.15,Beverages,1996 Q4,1,14.4,856.8
Boise,Spegesild,95,30,0.0,Seafood,1996 Q4,0,9.6,288.0
Boise,Raclette Courdavault,79,40,0.15,Dairy Products,1996 Q4,1,44.0,1496.0
Boise,Vegie-spread,24,80,0.15,Condiments,1996 Q4,1,35.1,1800.0
Brandenburg,Grandma's Boysenberry Spread,120,6,0.0,Condiments,1996 Q4,0,20.0,120.0
Brandenburg,Konbu,24,12,0.0,Seafood,1996 Q4,0,5.9,57.599999999999994
Brandenburg,Tofu,35,9,0.0,Produce,1996 Q4,0,18.6,167.4
Brandenburg,Gorgonzola Telino,0,4,0.0,Dairy Products,1996 Q4,0,10.0,40.0
Brandenburg,Mozzarella di Giovanni,14,40,0.0,Dairy Products,1996 Q4,0,27.8,1112.0
Madrid,Chef Anton's Cajun Seasoning,53,24,0.0,Condiments,1996 Q4,0,17.6,422.40000000000003
Madrid,Ravioli Angelo,36,16,0.0,Grains/Cereals,1996 Q4,0,15.6,249.6
Madrid,Rhönbräu Klosterbier,125,50,0.0,Beverages,1996 Q4,1,6.2,310.0
Bräcke,Chang,17,25,0.2,Beverages,1996 Q4,1,15.2,304.0
Bräcke,Queso Cabrales,22,50,0.2,Dairy Products,1996 Q4,1,16.8,672.0
Bräcke,Nord-Ost Matjeshering,10,35,0.2,Seafood,1996 Q4,1,20.7,579.6
Bräcke,Escargots de Bourgogne,62,30,0.2,Seafood,1996 Q4,1,10.6,254.4
Lisboa,Raclette Courdavault,79,9,0.0,Dairy Products,1996 Q4,1,44.0,396.0
Lisboa,Louisiana Fiery Hot Pepper Sauce,76,40,0.0,Condiments,1996 Q4,1,16.8,672.0
Lisboa,Scottish Longbreads,6,10,0.0,Confections,1996 Q4,0,10.0,100.0
Lander,Teatime Chocolate Biscuits,25,10,0.05,Confections,1996 Q4,1,7.3,69.35
Lander,Nord-Ost Matjeshering,10,8,0.05,Seafood,1996 Q4,0,20.7,157.32
Lander,Côte de Blaye,17,20,0.05,Beverages,1996 Q4,0,55.0,1800.0
Lander,Gnocchi di nonna Alice,21,12,0.05,Grains/Cereals,1996 Q4,1,30.4,346.55999999999995
Barquisimeto,Gumbär Gummibärchen,15,50,0.15,Confections,1996 Q4,1,24.9,1058.25
Barquisimeto,Mozzarella di Giovanni,14,25,0.15,Dairy Products,1996 Q4,1,27.8,590.75
Marseille,Tourtière,21,15,0.0,Meat/Poultry,1996 Q4,0,5.9,88.5
Montréal,Carnarvon Tigers,42,40,0.2,Seafood,1996 Q4,1,50.0,1600.0
Montréal,Singaporean Hokkien Fried Mee,26,10,0.2,Grains/Cereals,1996 Q4,1,11.2,89.60000000000001
Montréal,Zaanse koeken,36,16,0.2,Confections,1996 Q4,1,7.6,97.28
Oulu,Tofu,35,10,0.0,Produce,1996 Q4,0,18.6,186.0
Oulu,Sir Rodney's Scones,3,10,0.1,Confections,1996 Q4,1,8.0,72.0
Oulu,Flotemysost,26,40,0.1,Dairy Products,1996 Q4,1,17.2,619.2
Lyon,Filo Mix,38,8,0.0,Grains/Cereals,1996 Q4,0,5.9,44.8
Lyon,Scottish Longbreads,6,10,0.0,Confections,1996 Q4,0,10.0,100.0
Cork,Chang,17,7,0.2,Beverages,1996 Q4,1,15.2,85.12
Cork,Gorgonzola Telino,0,25,0.2,Dairy Products,1996 Q4,1,10.0,200.0
Cork,Mascarpone Fabioli,9,6,0.2,Dairy Products,1996 Q4,1,25.6,122.88000000000002
Cork,Manjimup Dried Apples,20,48,0.2,Produce,1996 Q4,1,42.4,1628.1599999999999
Lisboa,Chef Anton's Cajun Seasoning,53,18,0.1,Condiments,1996 Q4,1,17.6,285.12
München,Tunnbröd,61,40,0.0,Grains/Cereals,1996 Q4,1,7.2,288.0
München,Gumbär Gummibärchen,15,24,0.0,Confections,1996 Q4,0,24.9,597.5999999999999
München,Inlagd Sill,112,20,0.0,Seafood,1996 Q4,0,15.2,304.0
München,Gravad lax,11,28,0.0,Seafood,1996 Q4,0,20.8,582.4
München,Mozzarella di Giovanni,14,25,0.0,Dairy Products,1996 Q4,1,27.8,695.0
Anchorage,Alice Mutton,0,20,0.0,Meat/Poultry,1996 Q4,0,31.2,624.0
Anchorage,Nord-Ost Matjeshering,10,15,0.0,Seafood,1996 Q4,0,20.7,310.5
Montréal,Chef Anton's Cajun Seasoning,53,10,0.0,Condiments,1996 Q4,0,17.6,176.0
Montréal,Alice Mutton,0,70,0.05,Meat/Poultry,1996 Q4,0,31.2,1800.0
Montréal,Tarte au sucre,17,28,0.0,Confections,1996 Q4,0,39.4,1103.2
Marseille,Carnarvon Tigers,42,20,0.05,Seafood,1996 Q4,1,50.0,950.0
Marseille,Jack's New England Clam Chowder,85,12,0.05,Seafood,1996 Q4,0,7.7,87.78
Marseille,Ipoh Coffee,17,40,0.05,Beverages,1996 Q4,1,36.8,1398.3999999999999
Kobenhavn,Geitost,112,8,0.0,Dairy Products,1996 Q4,0,5.9,38.6
Kobenhavn,Raclette Courdavault,79,9,0.15,Dairy Products,1996 Q4,1,44.0,336.59999999999997
München,Chang,17,24,0.2,Beverages,1996 Q4,1,15.2,291.84
München,Gorgonzola Telino,0,56,0.2,Dairy Products,1996 Q4,1,10.0,448.0
München,Inlagd Sill,112,40,0.2,Seafood,1996 Q4,1,15.2,486.40000000000003
München,Pâté chinois,115,40,0.2,Meat/Poultry,1996 Q4,1,19.2,614.4000000000001
Frankfurt a.M.,Wimmers gute Semmelknödel,22,50,0.0,Grains/Cereals,1996 Q4,1,26.6,1330.0
Frankfurt a.M.,Scottish Longbreads,6,4,0.05,Confections,1996 Q4,1,10.0,38.6
Frankfurt a.M.,Lakkalikööri,57,15,0.0,Beverages,1996 Q4,1,14.4,216.0
Seattle,Chef Anton's Cajun Seasoning,53,35,0.0,Condiments,1996 Q4,0,17.6,616.0
Seattle,Northwoods Cranberry Sauce,6,70,0.25,Condiments,1996 Q4,1,32.0,1680.0
Cunewalde,Northwoods Cranberry Sauce,6,70,0.0,Condiments,1996 Q4,0,32.0,1800.0
Cunewalde,Teatime Chocolate Biscuits,25,80,0.0,Confections,1996 Q4,0,7.3,584.0
Cunewalde,Singaporean Hokkien Fried Mee,26,9,0.0,Grains/Cereals,1996 Q4,0,11.2,100.8
Albuquerque,Alice Mutton,0,36,0.1,Meat/Poultry,1996 Q4,1,31.2,1010.8800000000001
Albuquerque,Gnocchi di nonna Alice,21,20,0.0,Grains/Cereals,1996 Q4,0,30.4,608.0
Sao Paulo,NuNuCa Nuß-Nougat-Creme,76,10,0.0,Confections,1996 Q4,0,11.2,112.0
Sao Paulo,Chartreuse verte,69,50,0.15,Beverages,1996 Q4,1,14.4,612.0
Sao Paulo,Boston Crab Meat,123,4,0.0,Seafood,1996 Q4,0,14.7,58.8
Sao Paulo,Rhönbräu Klosterbier,125,6,0.15,Beverages,1996 Q4,1,6.2,38.6
Stuttgart,Chai,39,15,0.15,Beverages,1996 Q4,1,14.4,183.6
Stuttgart,Tunnbröd,61,25,0.0,Grains/Cereals,1996 Q4,1,7.2,180.0
Lander,Tourtière,21,24,0.0,Meat/Poultry,1996 Q4,0,5.9,141.60000000000002
Toulouse,Valkoinen suklaa,65,15,0.1,Confections,1996 Q4,1,13.0,175.5
Toulouse,Gudbrandsdalsost,26,18,0.1,Dairy Products,1996 Q4,1,28.8,466.56
Graz,Côte de Blaye,17,20,0.05,Beverages,1996 Q4,0,55.0,1800.0
Graz,Jack's New England Clam Chowder,85,13,0.0,Seafood,1996 Q4,0,7.7,100.10000000000001
Graz,Gula Malacca,27,77,0.05,Condiments,1996 Q4,1,15.5,1133.825
Graz,Louisiana Fiery Hot Pepper Sauce,76,10,0.05,Condiments,1996 Q4,0,16.8,159.6
Lisboa,Guaraná Fantástica,20,10,0.0,Beverages,1996 Q4,1,5.9,38.6
Lisboa,Tourtière,21,20,0.15,Meat/Poultry,1996 Q4,0,5.9,100.3
Salzburg,Queso Cabrales,22,12,0.2,Dairy Products,1996 Q4,1,16.8,161.28000000000003
Salzburg,Côte de Blaye,17,50,0.2,Beverages,1996 Q4,1,55.0,1800.0
México D.F.,Chai,39,12,0.0,Beverages,1996 Q4,1,14.4,172.8
México D.F.,Thüringer Rostbratwurst,0,4,0.0,Meat/Poultry,1996 Q4,1,55.0,396.0
London,Guaraná Fantástica,20,25,0.0,Beverages,1996 Q4,1,5.9,90.0
London,Ravioli Angelo,36,25,0.0,Grains/Cereals,1996 Q4,1,15.6,390.0
Stuttgart,Gorgonzola Telino,0,30,0.0,Dairy Products,1996 Q4,1,10.0,300.0
Stuttgart,Pâté chinois,115,12,0.0,Meat/Poultry,1996 Q4,0,19.2,230.39999999999998
Stuttgart,Gudbrandsdalsost,26,20,0.0,Dairy Products,1996 Q4,1,28.8,576.0
